3.035000	3.035000	1
3.383000	3.383000	2
3.708000	3.708000	3
4.033000	4.033000	4
4.382000	4.382000	5
4.707000	4.707000	6
5.043000	5.043000	7
5.368000	5.368000	8
5.705000	5.705000	9
6.030000	6.030000	10
6.367000	6.367000	11
6.704000	6.704000	12
7.029000	7.029000	13
7.365000	7.365000	14
7.679000	7.679000	15
8.004000	8.004000	16
8.341000	8.341000	17
8.666000	8.666000	18
8.979000	8.979000	19
9.304000	9.304000	20
9.618000	9.618000	21
9.931000	9.931000	22
10.245000	10.245000	23
10.558000	10.558000	24
10.860000	10.860000	25
11.173000	11.173000	26
11.475000	11.475000	27
11.777000	11.777000	28
12.079000	12.079000	29
12.381000	12.381000	30
12.671000	12.671000	31
12.973000	12.973000	32
13.263000	13.263000	33
13.554000	13.554000	34
13.844000	13.844000	35
14.134000	14.134000	36
14.413000	14.413000	37
14.703000	14.703000	38
14.982000	14.982000	39
15.260000	15.260000	40
15.539000	15.539000	41
15.817000	15.817000	42
16.096000	16.096000	43
16.375000	16.375000	44
16.630000	16.630000	45
16.909000	16.909000	46
17.176000	17.176000	47
17.443000	17.443000	48
17.698000	17.698000	49
17.965000	17.965000	50
18.221000	18.221000	51
18.488000	18.488000	52
18.743000	18.743000	53
18.999000	18.999000	54
19.254000	19.254000	55
19.509000	19.509000	56
19.765000	19.765000	57
20.009000	20.009000	58
20.264000	20.264000	59
20.508000	20.508000	60
20.752000	20.752000	61
20.996000	20.996000	62
21.239000	21.239000	63
21.483000	21.483000	64
21.727000	21.727000	65
21.959000	21.959000	66
22.203000	22.203000	67
22.447000	22.447000	68
22.667000	22.667000	69
22.900000	22.900000	70
23.143000	23.143000	71
23.364000	23.364000	72
23.596000	23.596000	73
23.840000	23.840000	74
24.061000	24.061000	75
24.281000	24.281000	76
24.502000	24.502000	77
24.722000	24.722000	78
24.955000	24.955000	79
25.175000	25.175000	80
25.396000	25.396000	81
25.616000	25.616000	82
25.837000	25.837000	83
26.057000	26.057000	84
26.266000	26.266000	85
26.487000	26.487000	86
26.696000	26.696000	87
26.905000	26.905000	88
27.126000	27.126000	89
27.335000	27.335000	90
27.544000	27.544000	91
27.753000	27.753000	92
27.938000	27.938000	93
28.159000	28.159000	94
28.368000	28.368000	95
28.565000	28.565000	96
28.774000	28.774000	97
28.972000	28.972000	98
29.169000	29.169000	99
29.378000	29.378000	100
29.575000	29.575000	101
29.773000	29.773000	102
29.970000	29.970000	103
